HomeTeam,AwayTeam,MeanGoalsHome,MeanShotsOnTargetHome,MeanGoalsAway,MeanShotsOnTargetAway,HomeTeam_FTR_Mode,AwayTeam_FTR_Mode,HomeTeamWinStreak,AwayTeamWinStreak,HomeTeamLossStreak,AwayTeamLossStreak
Antwerp,Kortrijk,1.6761363636363635,5.194915254237288,1.0317460317460319,3.8448275862068964,"('Antwerp', 'H')","('Kortrijk', 'H')",8,3,4,7
Mouscron,Standard,1.669811320754717,4.193548387096774,1.4112903225806452,4.1525423728813555,"('Mouscron', 'H')","('Standard', 'A')",9,6,4,5
Club Brugge,Waregem,2.306451612903226,6.5210084033613445,1.2826855123674912,4.145833333333333,"('Club Brugge', 'H')","('Waregem', 'H')",21,6,2,6
Anderlecht,Mechelen,2.3002680965147455,5.508474576271187,1.1464285714285714,4.108910891089109,"('Anderlecht', 'H')","('Mechelen', 'H')",17,5,3,6
Genk,Cercle Brugge,1.946236559139785,5.823529411764706,0.986013986013986,3.9320388349514563,"('Genk', 'H')","('Cercle Brugge', 'H')",8,3,5,14
Gent,Oostende,1.8629032258064515,5.890756302521009,0.9939024390243902,4.073684210526316,"('Gent', 'H')","('Oostende', 'H')",12,3,4,13
Charleroi,Club Brugge,1.3746478873239436,4.939130434782609,1.6978609625668448,5.38135593220339,"('Charleroi', 'H')","('Club Brugge', 'A')",9,7,4,4
Gent,Club Brugge,1.8629032258064515,5.890756302521009,1.6978609625668448,5.38135593220339,"('Gent', 'H')","('Club Brugge', 'A')",12,7,4,4
Genk,Standard,1.946236559139785,5.823529411764706,1.4112903225806452,4.1525423728813555,"('Genk', 'H')","('Standard', 'A')",8,6,5,5
Mouscron,Oostende,1.669811320754717,4.193548387096774,0.9939024390243902,4.073684210526316,"('Mouscron', 'H')","('Oostende', 'H')",9,3,4,13
Eupen,Kortrijk,1.2657342657342658,4.168141592920354,1.0317460317460319,3.8448275862068964,"('Eupen', 'A')","('Kortrijk', 'H')",2,3,5,7
Club Brugge,Antwerp,2.306451612903226,6.5210084033613445,1.1875,4.319327731092437,"('Club Brugge', 'H')","('Antwerp', 'H')",21,6,2,7
Mechelen,Oud-Heverlee Leuven,1.5642857142857143,5.173076923076923,1.1940298507462686,4.324324324324325,"('Mechelen', 'H')","('Oud-Heverlee Leuven', 'H')",6,2,4,9
Anderlecht,Waregem,2.3002680965147455,5.508474576271187,1.2826855123674912,4.145833333333333,"('Anderlecht', 'H')","('Waregem', 'H')",17,6,3,6
Gent,Cercle Brugge,1.8629032258064515,5.890756302521009,0.986013986013986,3.9320388349514563,"('Gent', 'H')","('Cercle Brugge', 'H')",12,3,4,14
Oostende,Waasland-Beveren,1.5,4.864583333333333,1.094890510948905,3.774193548387097,"('Oostende', 'A')","('Waasland-Beveren', 'H')",5,3,6,5
St Truiden,Mechelen,1.3624595469255663,4.38135593220339,1.1464285714285714,4.108910891089109,"('St Truiden', 'H')","('Mechelen', 'H')",5,5,4,6
Kortrijk,Club Brugge,1.466403162055336,4.7094017094017095,1.6978609625668448,5.38135593220339,"('Kortrijk', 'H')","('Club Brugge', 'A')",5,7,7,4
Cercle Brugge,Beerschot VA,1.408450704225352,4.872549019607843,1.2162162162162162,3.8055555555555554,"('Cercle Brugge', 'H')","('Beerschot VA', 'H')",6,4,9,13
Standard,Gent,1.814516129032258,5.102564102564102,1.462162162162162,5.237288135593221,"('Standard', 'H')","('Gent', 'A')",12,6,4,4
Charleroi,Mouscron,1.3746478873239436,4.939130434782609,1.1132075471698113,3.819672131147541,"('Charleroi', 'H')","('Mouscron', 'H')",9,2,4,10
Oud-Heverlee Leuven,Genk,1.544776119402985,4.712328767123288,1.5148247978436657,4.9576271186440675,"('Oud-Heverlee Leuven', 'H')","('Genk', 'H')",4,7,3,8
Waregem,Eupen,1.6418439716312057,4.568421052631579,0.9652777777777778,3.5350877192982457,"('Waregem', 'H')","('Eupen', 'H')",9,4,5,7
Antwerp,Anderlecht,1.6761363636363635,5.194915254237288,1.628032345013477,4.3418803418803416,"('Antwerp', 'H')","('Anderlecht', 'A')",8,12,4,5
Waasland-Beveren,St Truiden,1.1470588235294117,4.950819672131147,1.0224358974358974,3.73109243697479,"('Waasland-Beveren', 'A')","('St Truiden', 'H')",3,3,4,11
Beerschot VA,Charleroi,1.4054054054054055,4.305555555555555,1.1497175141242937,4.461538461538462,"('Beerschot VA', 'A')","('Charleroi', 'H')",5,4,6,9
Eupen,Standard,1.2657342657342658,4.168141592920354,1.4112903225806452,4.1525423728813555,"('Eupen', 'A')","('Standard', 'A')",2,6,5,5
Cercle Brugge,Oud-Heverlee Leuven,1.408450704225352,4.872549019607843,1.1940298507462686,4.324324324324325,"('Cercle Brugge', 'H')","('Oud-Heverlee Leuven', 'H')",6,2,9,9
